,Touch,1m,5m,Date,subject,total.time,
1,0,0,0,11/1/2019,1600,3600,Pretrial
2,0,0,82.381,10/18/2019,1602,3600,Pretrial
3,0,0,0,10/18/2019,1610,3600,Pretrial
4,0,0,0,11/1/2019,1622,3600,Pretrial
5,0,0,0,11/1/2019,1802,3600,Pretrial
6,0,1.004,197.396,11/1/2019,1820,3600,Pretrial
7,0,0,0,10/25/2019,1842,3600,Pretrial
8,0,0,0,10/18/2019,1850,3600,Pretrial
9,0,0,0,11/1/2019,1623,3600,Pretrial
10,0,0,0,10/18/2019,1617,3600,Pretrial
11,0,0,0.2,10/18/2019,1703,3600,Pretrial
12,0,0,0,11/1/2019,1601,3600,Pretrial
13,0,0,59.765,11/1/2019,1853,3600,Pretrial
14,0,5.506,298.193,11/1/2019,1841,3600,Pretrial
15,0,0,0,10/25/2019,1851,3600,Pretrial
16,0,0,3.704,10/18/2019,1803,3600,Pretrial
1,0,0,0,2/11/2020,1600,3600,February
2,0,0,0,2/11/2020,1602,3600,February
3,0,0,0,2/14/2020,1610,3600,February
4,0,0,0,2/12/2020,1622,3600,February
5,0,0,0,2/13/2020,1802,3600,February
6,0,0,0,2/12/2020,1820,3600,February
7,0,0,0,NA,1842,3600,February
8,0,0,0,2/14/2020,1850,3600,February
9,0,0,0,2/11/2020,1623,3600,February
10,0,0,0,2/11/2020,1617,3600,February
11,0,0,0,2/14/2020,1703,3600,February
12,0,0,0,2/12/2020,1601,3600,February
13,0,0,0,2/13/2020,1853,3600,February
14,0,0,0,2/12/2020,1841,3600,February
15,0,0,1.731,NA,1851,3600,February
16,0,0,0,2/14/2020,1803,3600,February
1,0,0,0,5/1/2020,1600,3600,May
2,0,0,0,6/6/2020,1602,3600,May
3,0,0,0,5/1/2020,1610,3600,May
4,0,0,0,6/13/2020,1622,3600,May
5,0,0,0,NA,1802,3600,May
6,508.008,1347.646,1373.681,5/25/2020,1820,1620,May
7,0,4.708,128.294,5/1/2020,1842,3600,May
8,0,0,0,5/1/2020,1623,3600,May
9,0,0,0,6/6/2020,1617,3600,May
10,0,0,72.253,5/1/2020,1703,3600,May
11,0,0,0,6/13/2020,1601,3600,May
12,0,0,2.206,NA,1853,3600,May
13,0,0,27.862,5/25/2020,1841,3600,May
14,0,0,0,5/1/2020,1851,3600,May
1,0,0,0,NA,1600,3600,August
2,0,0,0,NA,1602,3600,August
3,0,0,12.217,NA,1610,3600,August
4,0,0,22.122,NA,1622,3600,August
5,0,0,0,NA,1802,3600,August
6,3.017,107.204,130.73,NA,1820,3600,August
7,0,0,0,NA,1842,3600,August
8,0,0,23.419,NA,1850,3600,August
9,0,0,0,NA,1623,3600,August
10,0,0,85.186,NA,1617,3600,August
11,0,0,35.926,NA,1703,3600,August
12,0,1.901,45.449,NA,1601,3600,August
13,0,0,12.016,NA,1853,3600,August
14,0,0,30.428,NA,1841,3600,August
15,0,0,52.861,NA,1851,3600,August
16,0,0,38.44,NA,1803,3600,August
1,0,0,12.413,11/5/2020,1600,3600,November
2,0,0,0,11/9/2020,1602,3600,November
3,0,0,0,11/17/2020,1610,3600,November
4,0,0,0,11/4/2020,1622,3600,November
5,0,0,0,11/18/2020,1802,3600,November
6,0,59.661,89.991,11/20/2020,1820,3600,November
7,0,0,0,11/19/2020,1842,3600,November
8,0,0,0,11/3/2020,1850,3600,November
9,0,0,62.365,11/5/2020,1623,3600,November
10,0,0,15.215,11/9/2020,1617,3600,November
11,0,0,12.611,11/17/2020,1703,3600,November
12,0,0,0,11/4/2020,1601,3600,November
13,0,0,0,11/18/2020,1853,3600,November
14,0,0,6.005,11/20/2020,1841,3600,November
15,0,0,6.607,11/19/2020,1851,3600,November
16,0,5.51,91.792,11/3/2020,1803,3600,November
