wp,activity,start_date,end_date
Observations,Non-feeding obs,10/15/2019,11/30/2020
Observations,Scavenging obs,10/15/2019,11/30/2020
Observations, ,1/1/2020,11/30/2020
Observations,  ,10/15/2019,11/15/2019
Observations,  ,2/1/2020,2/28/2020
Observations,  ,5/1/2020,5/31/2020
Observations,  ,8/1/2020,8/31/2020
Observations,  ,11/1/2020,11/30/2020
Observations,   ,10/15/2019,11/15/2019
Observations,   ,2/1/2020,2/28/2020
Observations,   ,5/1/2020,5/31/2020
Observations,   ,8/1/2020,8/31/2020
Observations,   ,11/1/2020,11/30/2020
Observations,    ,10/15/2019,11/15/2019
Observations,    ,2/1/2020,2/28/2020
Observations,    ,5/1/2020,5/31/2020
Observations,    ,8/1/2020,8/31/2020
Observations,    ,11/1/2020,11/30/2020
